Winner,TitleBout,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,BetterRank,draw_diff,avg_sig_str_pct_diff,avg_TD_pct_diff,M_DEC_diff,S_DEC_diff,U_DEC_diff,TKO_diff,odds_diff,ev_diff,Stance_diff
0,0,0,0,1,3,1,10,0,2,1,-2.54,5.08,-1,-2.29,0.0,-0.09,0,0,-0.030000000000000027,-0.17,0,0,0,0,-352.0,-107.91669999999999,0
1,0,-1,1,0,0,0,-1,0,-1,1,7.62,5.08,6,-1.05,0.7,1.38,0,0,-0.10999999999999999,-0.23999999999999994,0,0,0,0,910.0,370.7692,0
1,0,1,-3,0,1,2,1,0,3,1,-10.16,-10.16,7,0.45,0.7,1.11,0,1,-0.09999999999999998,0.030000000000000027,-1,0,-2,0,230.0,25.0,0
1,0,-1,0,-2,-6,-9,-30,0,-4,0,2.54,-7.62,2,-1.69,0.0,-3.04,0,-1,0.13000000000000006,-0.020000000000000018,0,0,-2,0,-16.0,-13.293399999999991,1
1,0,3,-1,1,3,3,17,0,2,0,0.0,-12.7,2,-1.57,-0.6,-1.62,0,1,-0.18999999999999995,0.06999999999999995,0,0,1,0,1080.0,439.0,0
1,0,3,-5,0,-1,2,-3,0,-2,3,17.78,2.54,1,-0.97,0.7,-0.52,0,-1,-0.11000000000000004,-0.25,0,-1,-1,0,1575.0,614.4737,1
1,0,2,-1,0,-2,4,3,0,0,0,2.54,-7.62,1,-0.61,-0.3,0.09,0,0,-0.12,-0.030000000000000027,0,0,-2,0,645.0,257.2222,1
1,0,0,-2,-2,-2,-1,-8,0,0,0,10.16,5.08,-1,0.45,-0.3,-4.56,-1,0,-0.19999999999999996,0.49,0,0,-2,0,445.0,159.1837,2
1,0,0,0,2,3,1,12,0,1,0,5.08,10.16,-2,0.48,-0.9,0.64,0,0,0.010000000000000009,0.07,0,1,1,0,-230.0,-25.0,-2
0,0,0,0,0,0,0,1,0,-1,0,2.54,7.62,-7,2.61,0.0,-0.39,0,0,-0.040000000000000036,-0.11,0,1,0,0,-375.0,-121.2195,0
0,0,1,-2,1,1,2,6,0,0,0,0.0,-5.08,3,-0.93,0.3,1.42,0,0,0.010000000000000009,-0.38,0,0,1,0,285.0,65.4839,0
0,1,0,4,4,-1,1,8,-2,-6,0,-12.7,-10.16,4,-2.35,0.0,5.8,-1,0,-0.19,-0.06,0,-1,6,0,-220.0,-16.666700000000006,2
0,1,1,-5,4,4,0,23,9,4,0,0.0,0.0,5,-1.03,-0.4,2.3,-1,0,0.11000000000000004,0.24,0,1,-1,0,240.0,33.076899999999995,-1
0,0,0,3,-2,-4,-1,-22,-2,-1,-3,7.62,7.62,-4,0.12,1.7,-0.57,-1,0,0.16000000000000003,0.14,0,0,0,0,-375.0,-121.2195,2
0,0,0,-1,-1,-1,0,-6,0,2,-1,-7.62,-20.32,3,1.27,0.1,0.46,0,0,0.07999999999999996,0.41000000000000003,0,0,-2,0,362.0,113.4949,2
1,0,2,-1,1,4,4,10,0,2,0,2.54,20.32,7,1.13,-0.5,0.08,0,0,-0.03999999999999998,-0.21999999999999997,0,1,1,0,375.0,121.2195,-1
0,0,0,3,1,-1,-3,-12,-1,-3,-1,-5.08,-2.54,-3,-1.33,-0.2,1.57,-1,0,0.10999999999999999,0.06000000000000005,0,0,3,0,-240.0,-33.076899999999995,0
